A2M	NM_000014.4
ANKK1	NM_178510.1
ANKLE1	NM_152363.5
ANKLE2	NM_015114.2
ANKRD1	NM_014391.2
ANKRD11	NM_013275.5
ANKRD13A	NM_033121.1
ANKRD22	NM_144590.2
ANKRD26	NM_014915.2
ANKRD50	NM_001167882.1
ANKRD6	NM_001242809.1
ANKS1A	NM_015245.2
ANKS1B	NM_152788.4
ANKS1B	NM_181670.3
ANKS3	NM_133450.3
ANKS6	NM_173551.3
ANLN	NM_018685.4
ANO10	NM_018075.3
ANO3	NM_031418.2
ANO5	NM_213599.2
ANO6	NM_001025356.2
ANTXR1	NM_032208.2
ANTXR2	NM_058172.5
ANXA1	NM_000700.2
ANXA11	NM_001157.2
AOAH	NM_001637.3
AOC1	NM_001091.3
AOX1	NM_001159.3
AP1G1	NM_001030007.1
AP1S1	NM_001283.3
AP1S2	NM_003916.4
AP1S3	NM_001039569.1
AP2S1	NM_004069.4
AP3B1	NM_003664.4
AP3B2	NM_004644.4
AP3D1	NM_001261826.1
AP4B1	NM_006594.3
AP4E1	NM_007347.4
AP4M1	NM_004722.3
AP4S1	NM_007077.4
AP5Z1	NM_014855.2
APAF1	NM_181861.1
APBA2	NM_005503.3
APBB3	NM_133173.2
APC	NM_000038.5
APC2	NM_005883.2
APCDD1	NM_153000.4
APEX1	NM_001641.3
APH1A	NM_001077628.2
APH1B	NM_031301.3
APOA1	NM_000039.1
APOA2	NM_001643.1
APOA4	NM_000482.3
APOA5	NM_052968.4
APOB	NM_000384.2
APOBEC3D	NM_152426.3
APOBEC3F	NM_145298.5
APOBEC3G	NM_021822.3
APOBEC3H	NM_181773.4
APOC1	NM_001645.3
APOC2	NM_000483.4
APOC3	NM_000040.1
APOC4	NM_001646.2
APOD	NM_001647.3
APOE	NM_000041.3
APOH	NM_000042.2
APOL1	NM_003661.3
APOL5	NM_030642.1
APOPT1	NM_032374.4
APP	NM_000484.3
APPL1	NM_012096.2
APPL2	NM_018171.3
APRT	NM_000485.2
APTX	NM_175073.2
AQP1	NM_198098.2
AQP2	NM_000486.5
AQP3	NM_004925.4
AQP4	NM_001650.4
AQP5	NM_001651.3
AQP7	NM_001170.1
AR	NM_000044.3
ARAP1	NM_015242.4
ARCN1	NM_001655.4
AREL1	NM_001039479.1
ARF4	NM_001660.3
ARFGAP3	NM_014570.4
ARFGEF2	NM_006420.2
ARG1	NM_000045.3
ARHGAP21	NM_020824.3
ARHGAP24	NM_001025616.2
ARHGAP28	NM_001010000.2
ARHGAP29	NM_004815.3
ARHGAP31	NM_020754.3
ARHGAP4	NM_001164741.1
ARHGAP6	NM_013427.2
ARHGAP9	NM_032496.2
ARHGDIA	NM_001185077.2
ARHGEF10	NM_014629.2
ARHGEF10L	NM_018125.3
ARHGEF11	NM_014784.3
ARHGEF12	NM_015313.2
ARHGEF15	NM_173728.3
ARHGEF17	NM_014786.3
ARHGEF28	NM_001080479.2
ARHGEF3	NM_001128615.1
ARHGEF6	NM_004840.2
ARHGEF7	NM_001113511.1
ARHGEF9	NM_001173479.1
ARHGEF9	NM_015185.2
ARID1A	NM_006015.4
ARID1B	NM_020732.3
ARID2	NM_152641.2
ARID3C	NM_001017363.1
ARID5A	NM_212481.1
ARIH1	NM_005744.3
ARL11	NM_138450.5
ARL13B	NM_182896.2
ARL14EP	NM_152316.2
ARL2BP	NM_012106.3
ARL3	NM_004311.3
ARL6	NM_177976.2
ARL6IP1	NM_015161.1
ARL6IP6	NM_152522.5
ARMC4	NM_018076.3
ARMC5	NM_001105247.1
ARMS2	NM_001099667.1
ARNT2	NM_014862.3
ARRB2	NM_001257328.1
ARSA	NM_000487.5
ARSB	NM_000046.3
ARSE	NM_000047.2
ARSF	NM_004042.4
ARSG	NM_014960.4
ARSH	NM_001011719.1
ARSI	NM_001012301.2
ART4	NM_021071.2
ARV1	NM_022786.1
ARVCF	NM_001670.2
ARX	NM_139058.2
AS3MT	NM_020682.3
ASAH1	NM_177924.3
ASAP1	NM_018482.3
ASAP2	NM_003887.2
ASB1	NM_001040445.1
ASB10	NM_001142459.1
ASB10	NM_080871.3
ASCC1	NM_001198799.2
ASCC1	NM_001198800.2
ASCC3	NM_006828.3
ASCL1	NM_004316.3
ASGR1	NM_001671.4
ASH1L	NM_018489.2
ASH2L	NM_001105214.2
ASIC1	NM_020039.3
ASIC3	NM_020322.3
ASIC4	NM_182847.2
ASL	NM_000048.3
ASMT	NM_004043.2
ASNS	NM_133436.3
ASPA	NM_000049.2
ASPH	NM_004318.3
ASPM	NM_018136.4
ASPRV1	NM_152792.2
ASS1	NM_000050.4
ASTL	NM_001002036.3
ASTN1	NM_004319.2
ASTN2	NM_014010.4
ASUN	NM_018164.2
ASXL1	NM_015338.5
ASXL3	NM_030632.1
ATAD5	NM_024857.4
ATCAY	NM_033064.4
ATE1	NM_001001976.2
ATF1	NM_005171.4
ATF3	NM_001674.3
ATF6	NM_007348.3
ATG10	NM_001131028.1
ATG12	NM_004707.3
ATG16L1	NM_017974.3
ATG5	NM_004849.3
ATG7	NM_006395.2
ATIC	NM_004044.6
ATL1	NM_015915.4
ATL3	NM_015459.4
ATM	NM_000051.3
ATN1	NM_001007026.1
ATOH7	NM_145178.3
ATP10A	NM_024490.3
ATP10D	NM_020453.3
ATP11B	NM_014616.2
ATP11C	NM_001010986.2
ATP13A2	NM_022089.3
ATP13A4	NM_032279.3
ATP13A5	NM_198505.2
ATP1A2	NM_000702.3
ATP1A3	NM_152296.4
ATP1B1	NM_001677.3
ATP1B4	NM_001142447.2
ATP2A1	NM_173201.3
ATP2A2	NM_001681.3
ATP2A2	NM_170665.3
ATP2A3	NM_174953.2
ATP2B2	NM_001683.3
ATP2B3	NM_001001344.2
ATP2B4	NM_001001396.2
ATP2C1	NM_014382.3
ATP2C2	NM_014861.3
ATP4A	NM_000704.2
ATP5A1	NM_001001937.1
ATP5E	NM_006886.3
ATP5SL	NM_018035.2
ATP6AP1	NM_001183.5
ATP6AP2	NM_005765.2
ATP6V0A2	NM_012463.3
ATP6V0A4	NM_020632.2
ATP6V0C	NM_001198569.1
ATP6V0D2	NM_152565.1
ATP6V1A	NM_001690.3
ATP6V1B1	NM_001692.3
ATP6V1B2	NM_001693.3
ATP6V1E1	NM_001696.3
ATP6V1H	NM_015941.3
ATP7A	NM_000052.6
ATP7B	NM_000053.3
ATP8A2	NM_016529.4
ATP8B1	NM_005603.4
ATP8B3	NM_138813.3
ATP8B4	NM_024837.3
ATP9B	NM_198531.3
ATPAF2	NM_145691.3
ATR	NM_001184.3
ATRIP	NM_130384.2
ATRN	NM_139321.2
ATRX	NM_000489.4
ATXN2	NM_002973.3
ATXN7	NM_000333.3
AUH	NM_001698.2
AUP1	NM_181575.4
AURKA	NM_198433.1
AURKB	NM_004217.3
AURKC	NM_001015878.1
AUTS2	NM_015570.3
AVP	NM_000490.4
AVPR1B	NM_000707.3
AVPR2	NM_000054.4
AXIN1	NM_003502.3
AXIN2	NM_004655.3
AXL	NM_021913.4
AZGP1	NM_001185.3
AZIN1	NM_015878.5
B2M	NM_004048.2
B3GALNT1	NM_003781.3
B3GALNT2	NM_152490.4
B3GALT6	NM_080605.3
B3GALTL	NM_194318.3
B3GAT3	NM_012200.3
B3GNT1	NM_006876.2
B3GNT3	NM_014256.3
B4GALNT1	NM_001478.4
B4GALT1	NM_001497.3
B4GALT7	NM_007255.2
B9D1	NM_001243473.1
B9D1	NM_015681.3
B9D2	NM_030578.3
BAAT	NM_001701.3
BABAM1	NM_001033549.2
BACE1	NM_012104.4
BAG3	NM_004281.3
BAG6	NM_004639.3
BAIAP2	NM_017451.2
BAIAP3	NM_003933.4
BAMBI	NM_012342.2
BANF1	NM_001143985.1
BANK1	NM_017935.4
BAP1	NM_004656.3
BARD1	NM_000465.3
BARX1	NM_021570.3
BBIP1	NM_001195306.1
BBS1	NM_024649.4
BBS10	NM_024685.3
BBS12	NM_152618.2
BBS2	NM_031885.3
BBS4	NM_033028.4
BBS5	NM_152384.2
BBS7	NM_176824.2
BBS9	NM_198428.2
BCAM	NM_005581.4
BCAP31	NM_001139441.1
BCAT1	NM_005504.6
BCAT2	NM_001190.3
BCCIP	NM_078468.2
BCHE	NM_000055.2
BCKDHA	NM_000709.3
BCKDHB	NM_183050.2
BCKDK	NM_005881.3
BCL10	NM_003921.4
BCL11A	NM_022893.3
BCL2	NM_000633.2
BCL2A1	NM_004049.3
BCL9	NM_004326.3
BCL9L	NM_182557.2
BCLAF1	NM_014739.2
BCO1	NM_017429.2
BCOR	NM_017745.5
BCORL1	NM_021946.4
BCR	NM_004327.3
BCS1L	NM_004328.4
BDKRB2	NM_000623.3
BDNF	NM_170735.5
BDP1	NM_018429.2
BEND2	NM_153346.4
BEST1	NM_004183.3
BFSP1	NM_001195.4
BFSP2	NM_003571.3
BGLAP	NM_199173.4
BGN	NM_001711.4
BHLHA9	NM_001164405.1
BHLHE41	NM_030762.2
BHMT	NM_001713.2
BICC1	NM_001080512.2
BICD2	NM_001003800.1
BIN1	NM_004305.3
BIN1	NM_139343.2
BIRC5	NM_001168.2
BIRC6	NM_016252.3
BLK	NM_001715.2
BLM	NM_000057.3
BLMH	NM_000386.3
BLNK	NM_013314.3
BLOC1S3	NM_212550.3
BLOC1S6	NM_012388.2
BLVRA	NM_000712.3
BMI1	NM_005180.8
BMP1	NM_006129.4
BMP10	NM_014482.1
BMP15	NM_005448.2
BMP2	NM_001200.2
BMP2K	NM_198892.1
BMP4	NM_001202.3
BMP5	NM_021073.2
BMP6	NM_001718.4
BMP7	NM_001719.2
BMPER	NM_133468.4
BMPR1A	NM_004329.2
BMPR1B	NM_001203.2
BMPR2	NM_001204.6
BMS1	NM_014753.3
BNC2	NM_017637.5
BOD1	NM_138369.2
BOLA3	NM_212552.2
BPGM	NM_199186.2
BPI	NM_001725.2
BPIFA3	NM_178466.4
BPIFB1	NM_033197.2
BPIFB4	NM_182519.2
BPTF	NM_004459.6
BRAF	NM_004333.4
BRAT1	NM_152743.3
BRCA1	NM_007294.3
BRCA2	NM_000059.3
BRD1	NM_001304808.1
BRD3	NM_007371.3
BRD4	NM_058243.2
BRF1	NM_001519.3
BRINP2	NM_021165.3
BRIP1	NM_032043.2
BRSK1	NM_032430.1
BRSK2	NM_001256627.1
BRWD1	NM_018963.4
BRWD3	NM_153252.4
BSCL2	NM_001122955.3
BSCL2	NM_001130702.2
BSCL2	NM_032667.6
BSG	NM_198589.2
BSN	NM_003458.3
BSND	NM_057176.2
BST1	NM_004334.2
BST2	NM_004335.3
BTBD8	NM_183242.3
BTC	NM_001729.2
BTD	NM_000060.3
BTG2	NM_006763.2
BTK	NM_000061.2
BTLA	NM_181780.3
BTN1A1	NM_001732.2
BTNL2	NM_001304561.1
BUB1	NM_004336.4
BUB1B	NM_001211.5
BUB3	NM_004725.3
BVES	NM_007073.4
BZRAP1	NM_004758.3
C10orf11	NM_032024.3
C10orf2	NM_021830.4
C10orf54	NM_022153.1
C10orf90	NM_001004298.2
C11orf40	NM_144663.1
C11orf73	NM_016401.3
C12orf10	NM_021640.3
C12orf4	NM_020374.3
C12orf57	NM_138425.3
C12orf65	NM_152269.4
C14orf105	NM_018168.3
C14orf2	NM_004894.2
C14orf28	NM_001017923.1
C14orf39	NM_174978.2
C15orf41	NM_001130010.2
C17orf53	NM_024032.3
C17orf74	NM_175734.4
C19orf12	NM_001031726.3
C19orf18	NM_152474.4
C19orf45	NM_198534.2
C19orf48	NM_199249.2
C1QA	NM_015991.2
C1QB	NM_000491.3
C1QC	NM_172369.3
C1QTNF5	NM_015645.4
C1S	NM_201442.2
C1orf100	NM_001012970.2
C1orf127	NM_001170754.1
C1orf168	NM_001004303.4
C1orf68	NM_001024679.2
C2	NM_000063.5
C20orf197	NM_173644.2
C21orf2	NM_004928.2
C21orf59	NM_021254.2
C21orf91	NM_001100420.1
C2CD3	NM_001286577.1
C2CD3	NM_015531.5
C2orf42	NM_017880.1
C2orf71	NM_001029883.2
C3	NM_000064.3
C3AR1	NM_004054.2
C4A	NM_007293.2
C4B	NM_001002029.3
C4BPA	NM_000715.3
C4orf26	NM_178497.3
C5	NM_001735.2
C5AR2	NM_018485.2
C5orf42	NM_023073.3
C6	NM_000065.3
C6orf132	NM_001164446.2
C6orf15	NM_014070.2
C6orf222	NM_001010903.4
C6orf223	NM_153246.4
C7	NM_000587.2
C7orf43	NM_018275.4
C7orf55	NM_197964.4
C7orf60	NM_152556.2
C8A	NM_000562.2
C8B	NM_000066.3
C8orf37	NM_177965.3
C9	NM_001737.3
C9orf114	NM_016390.3
C9orf172	NM_001080482.2
C9orf173	NM_001256699.1
C9orf72	NM_018325.4
CA1	NM_001738.4
CA10	NM_001082533.1
CA12	NM_001218.4
CA2	NM_000067.2
CA4	NM_000717.3
CA5A	NM_001739.1
CA6	NM_001215.3
CA8	NM_004056.4
CABIN1	NM_012295.3
CABP2	NM_016366.2
CABP4	NM_145200.3
CACHD1	NM_020925.2
CACNA1A	NM_001127221.1
CACNA1B	NM_000718.3
CACNA1C	NM_000719.6
CACNA1C	NM_001129837.1
CACNA1C	NM_001167625.1
CACNA1D	NM_000720.3
CACNA1E	NM_000721.3
CACNA1F	NM_005183.3
CACNA1G	NM_018896.4
CACNA1H	NM_021098.2
CACNA1I	NM_021096.3
CACNA1S	NM_000069.2
CACNA2D1	NM_000722.3
CACNA2D2	NM_006030.3
CACNA2D3	NM_018398.2
CACNA2D4	NM_172364.4
CACNB2	NM_201590.2
CACNB2	NM_201593.2
CACNB2	NM_201596.2
CACNB2	NM_201597.2
CACNB4	NM_000726.3
CACNG1	NM_000727.3
CACNG2	NM_006078.3
CAD	NM_004341.3
CADM1	NM_014333.3
CADM2	NM_001167674.1
CADPS	NM_003716.3
CADPS2	NM_017954.10
CALCOCO2	NM_001261390.1
CALCR	NM_001742.3
CALHM1	NM_001001412.3
CALM1	NM_006888.4
CALM2	NM_001743.4
CALM3	NM_005184.2
CALR	NM_004343.3
CALR3	NM_145046.4
CAMK2A	NM_015981.3
CAMK2B	NM_001220.4
CAMK2D	NM_172115.2
CAMK2G	NM_172171.2
CAMK4	NM_001744.4
CAMKK1	NM_032294.2
CAMKK2	NM_006549.3
CAMP	NM_004345.4
CANT1	NM_138793.3
CAPN1	NM_001198868.1
CAPN10	NM_023083.3
CAPN12	NM_144691.4
CAPN13	NM_144575.2
CAPN15	NM_005632.2
CAPN3	NM_000070.2
CAPN5	NM_004055.4
CAPN9	NM_006615.2
CAPRIN1	NM_005898.4
CARD10	NM_014550.3
CARD11	NM_032415.5
CARD14	NM_024110.4
CARD8	NM_014959.3
CARD9	NM_052813.4
CARMIL1	NM_017640.5
CARS2	NM_024537.2
CARTPT	NM_004291.3
CASC4	NM_138423.3
CASC5	NM_170589.4
CASK	NM_003688.3
CASP1	NM_033292.3
CASP10	NM_032977.3
CASP2	NM_032982.3
CASP3	NM_004346.3
CASP5	NM_004347.3
CASP7	NM_001267057.1
CASP8	NM_001228.4
CASP9	NM_001229.4
CASQ1	NM_001231.4
CASQ2	NM_001232.3
CASR	NM_000388.3
CAST	NM_001042440.3
CAT	NM_001752.3
CATSPER1	NM_053054.3
CATSPER2	NM_172095.2
CATSPER3	NM_178019.2
CATSPER4	NM_198137.1
CAV1	NM_001753.4
CAV3	NM_033337.2
CBFA2T2	NM_005093.3
CBL	NM_005188.3
CBLB	NM_170662.3
CBLC	NM_012116.3
CBR1	NM_001757.3
CBR3	NM_001236.3
CBR4	NM_032783.4
CBS	NM_000071.2
CBX2	NM_005189.2
CBX4	NM_003655.2
CBX5	NM_001127322.1
CBX8	NM_020649.2
CC2D1A	NM_017721.4
CC2D2A	NM_001080522.2
CCAR2	NM_021174.5
CCBE1	NM_133459.3
CCDC103	NM_213607.2
CCDC108	NM_194302.3
CCDC109B	NM_017918.4
CCDC114	NM_144577.3
CCDC115	NM_032357.3
CCDC129	NM_001257967.1
CCDC136	NM_022742.4
CCDC14	NM_022757.4
CCDC141	NM_173648.3
CCDC151	NM_145045.4
CCDC160	NM_001101357.1
CCDC170	NM_025059.3
CCDC174	NM_016474.4
CCDC18	NM_206886.4
CCDC180	NM_020893.2
CCDC19	NM_012337.2
CCDC22	NM_014008.4
CCDC28B	NM_024296.4
CCDC30	NM_001080850.2
CCDC39	NM_181426.1
CCDC40	NM_017950.3
CCDC47	NM_020198.2
CCDC50	NM_178335.2
CCDC57	NM_198082.2
CCDC65	NM_033124.4
CCDC78	NM_001031737.2
CCDC8	NM_032040.4
CCDC85C	NM_001144995.1
CCDC88A	NM_001135597.1
CCDC88C	NM_001080414.3
CCDC90B	NM_021825.4
CCHCR1	NM_001105564.1
CCKAR	NM_000730.2
CCKBR	NM_176875.3
CCL11	NM_002986.2
CCL22	NM_002990.4
CCL26	NM_006072.4
CCL5	NM_002985.2
CCM2	NM_031443.3
CCND1	NM_053056.2
CCND2	NM_001759.3
CCNE1	NM_001238.2
CCNF	NM_001761.2
CCNO	NM_021147.4
CCR2	NM_001123041.2
CCR3	NM_001837.3
CCR5	NM_000579.3
CCRL2	NM_003965.4
CCS	NM_005125.1
CCT5	NM_012073.3
CCT7	NM_006429.3
CCT8L2	NM_014406.4
CD109	NM_133493.4
CD14	NM_000591.3
CD151	NM_004357.4
CD163	NM_004244.5
CD163L1	NM_174941.5
CD164	NM_006016.4
CD177	NM_020406.3
CD19	NM_001770.5
CD1A	NM_001763.2
CD1E	NM_030893.3
CD2	NM_001767.3
CD207	NM_015717.4
CD209	NM_021155.3
CD22	NM_001771.3
CD226	NM_006566.3
CD247	NM_198053.2
CD27	NM_001242.4
CD2AP	NM_012120.2
CD300LF	NM_139018.4
CD300LG	NM_145273.3
CD320	NM_016579.3
CD33	NM_001772.3
CD36	NM_001001547.2
CD38	NM_001775.2
CD3D	NM_000732.4
CD3E	NM_000733.3
CD3EAP	NM_012099.1
CD3G	NM_000073.2
CD4	NM_000616.4
CD40	NM_001250.5
CD40LG	NM_000074.2
CD44	NM_000610.3
CD46	NM_002389.4
CD55	NM_000574.4
CD59	NM_203330.2
CD6	NM_006725.4
CD79A	NM_001783.3
CD79B	NM_000626.2
CD81	NM_004356.3
CD86	NM_006889.4
CD8A	NM_001768.6
CD9	NM_001769.3
CD96	NM_198196.2
CD99L2	NM_134446.3
CDA	NM_001785.2
CDAN1	NM_138477.2
CDC14A	NM_033312.2
CDC25C	NM_001790.4
CDC42	NM_001791.3
CDC42BPB	NM_006035.3
CDC45	NM_001178010.2
CDC5L	NM_001253.3
CDC6	NM_001254.3
CDC73	NM_024529.4
CDCA7	NM_031942.4
CDCA7L	NM_018719.4
CDH1	NM_004360.3
CDH11	NM_001797.2
CDH12	NM_004061.3
CDH13	NM_001257.4
CDH15	NM_004933.2
CDH16	NM_004062.3
CDH18	NM_004934.3
CDH2	NM_001792.3
CDH23	NM_001171933.1
CDH23	NM_022124.5
CDH3	NM_001793.4
CDH4	NM_001794.4
CDH5	NM_001795.3
CDH6	NM_004932.3
CDH8	NM_001796.4
CDHR1	NM_033100.3
CDHR3	NM_152750.4
CDIP1	NM_001199054.1
CDK10	NM_001160367.1
CDK11A	NM_024011.2
CDK16	NM_006201.4
CDK2	NM_001798.4
CDK20	NM_001039803.2
CDK4	NM_000075.3
CDK5	NM_004935.3
CDK5R1	NM_003885.2
